player_name,hand,height_cm,wingspan_cm,nationality
John Isner,R,206.0,213.0,USA
John McEnroe,L,180.0,,USA
John Millman,R,183.0,,AUS
John Patrick Smith,L,188.0,,AUS
John Ross,R,185.0,,USA
John Sobel,R,173.0,,USA
John Van Lottum,R,185.0,,NED
Jonas Bjorkman,R,183.0,,SWE
Jonas Svensson,R,188.0,,SWE
Jonathan Canter,R,185.0,,USA
Jonathan Leach,R,,,USA
Jonathan Stark,R,188.0,,USA
Joost Winnink,R,180.0,,NED
Jordan Thompson,R,183.0,,AUS
Jordi Arrese,R,175.0,,ESP
Jordi Burillo,R,188.0,,ESP
Jorge Lozano,R,180.0,,MEX
Jose Acasuso,R,190.0,,ARG
Jose Antonio Sanchez De Luna,R,,,ESP
Jose Francisco Altur,L,190.0,,ESP
Josselin Ouanna,R,193.0,,FRA
Jozef Kovalik,R,183.0,,SVK
Juan Aguilera,R,183.0,,ESP
Juan Albert Viloca Puig,R,185.0,,ESP
Juan Antonio Marin,R,175.0,,CRC
Juan Balcells,R,190.0,,ESP
Juan Carlos Ferrero,R,183.0,185.0,ESP
Juan Gisbert Jr,R,198.0,,ESP
Juan Ignacio Chela,R,190.0,,ARG
Juan Ignacio Londero,R,180.0,,ARG
Juan Luis Tati Rascon,R,,,ESP
Juan Manuel Cerundolo,L,183.0,,ARG
Juan Martin del Potro,R,198.0,198.0,ARG
Juan Monaco,R,185.0,,ARG
Juan Pablo Varillas,R,185.0,,PER
Julian Alonso,R,185.0,,ESP
Julian Knowle,L,188.0,,AUT
Julien Benneteau,R,185.0,,FRA
Julien Boutter,R,190.0,,FRA
Juncheng Shang,L,180.0,,CHN
Jurgen Melzer,L,183.0,185.0,AUT
Jurgen Zopp,R,190.0,,EST
Jurij Rodionov,L,191.0,,AUT
Justin Gimelstob,R,196.0,,USA
Kamil Majchrzak,R,180.0,,POL
Karel Novacek,R,190.0,,CZE
Karen Khachanov,R,198.0,196.0,RUS
Karim Alami,R,185.0,,MAR
Karol Beck,R,180.0,,SVK
Karol Kucera,R,188.0,,SVK
Karsten Braasch,L,180.0,,GER
Kei Nishikori,R,178.0,,JPN
Keith Evans,R,188.0,,USA
Kelly Evernden,R,175.0,,NZL
Kelly Jones,R,185.0,,USA
Ken Flach,R,185.0,,USA
Kenneth Carlsen,L,190.0,,DEN
Kenny De Schepper,L,203.0,,FRA
Kenny Thorne,R,188.0,,USA
Kevin Anderson,R,203.0,203.0,RSA
Kevin Curren,R,185.0,,USA
Kevin Kim,R,180.0,,USA
Kevin Ullyett,R,178.0,,ZIM
Kim Tiilikainen,R,180.0,,FIN
Konstantin Kravchuk,R,190.0,,RUS
Krister Wedenby,L,185.0,,SWE
Kristian Pless,R,188.0,,DEN
Kristof Vliegen,R,193.0,,BEL
Kyle Edmund,R,188.0,,GBR
Lars Anders Wahlgren,R,193.0,,SWE
Lars Burgsmuller,R,183.0,,GER
Lars Jonsson,R,188.0,,SWE
Lars Koslowski,R,188.0,,GER
Lars Rehmann,R,196.0,,GER
Laslo Djere,R,188.0,,SRB
Laurence Tieleman,R,180.0,,ITA
Lawson Duncan,R,185.0,,USA
Leander Paes,R,178.0,,IND
Leandro Riedi,R,191.0,,SUI
Leif Shiras,R,183.0,,USA
Leonardo Lavalle,L,188.0,,MEX
Leonardo Mayer,R,188.0,,ARG
Li Tu,R,183.0,,AUS
Liam Broady,L,183.0,,GBR
Libor Nemecek,R,168.0,,CZE
Libor Pimek,R,196.0,,BEL
Lionel Roux,R,185.0,,FRA
Lleyton Hewitt,R,180.0,180.0,AUS
Lloyd Harris,R,193.0,,RSA
Lorenzo Musetti,R,185.0,185.0,ITA
Lorenzo Sonego,R,191.0,188.0,ITA
Louis Gloria,L,175.0,,USA
Luca Nardi,R,185.0,,ITA
Luca Van Assche,R,178.0,,FRA
Luca Vanni,R,198.0,,ITA
Lucas Arnold Ker,R,180.0,,ARG
Lucas Catarina,R,185.0,,MON
Lucas Pouille,R,185.0,188.0,FRA
Luciano Darderi,R,183.0,,ITA
Luis Herrera,L,170.0,,MEX
Luis Horna,R,180.0,,PER
Luiz Mattar,R,183.0,,BRA
Lukas Dlouhy,R,185.0,,CZE
Lukas Klein,R,193.0,,SVK
